column_name,source_file,domain,semantic_meaning,sensor,unit,dtype,interpretation_source,observed_min,observed_max,observed_mean,observed_std,missing_count,missing_pct
gyro_z,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Gyroscope roll angular velocity around Z-axis,3-axis gyroscope,rad/s,float64,paper Table 4,-0.5837,0.5546,0.002549,0.051477,0,0.0
mag_x,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Magnetic field strength along X-axis,3-axis magnetometer,μT,float64,paper Table 4,-41.87,10.75,-15.914523,12.296813,0,0.0
mag_y,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Magnetic field strength along Y-axis,3-axis magnetometer,μT,float64,paper Table 4,-39.19,-16.62,-27.94087,2.924344,0,0.0
mag_z,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Magnetic field strength along Z-axis,3-axis magnetometer,μT,float64,paper Table 4,-11.0,43.88,17.042944,12.97947,0,0.0
ori_yaw_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Orientation azimuth/yaw from Android sensor fusion,Android orientation sensor,degrees,float64,paper Table 4,0.0,360.0,181.656303,140.603281,0,0.0
ori_pitch_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Orientation pitch from Android sensor fusion,Android orientation sensor,degrees,float64,paper Table 4,-89.69,-68.11,-81.11301,2.723437,0,0.0
ori_roll_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Orientation roll from Android sensor fusion,Android orientation sensor,degrees,float64,paper Table 4,-180.0,180.0,-127.493346,82.455332,0,0.0
time_s,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Derived/computed field,Computed,s,float64,inferred from data,0.0,5174.499,2587.249457,1493.792782,0,0.0
dt,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Derived/computed field,Computed,s,float64,inferred from data,0.08899999999994179,0.11099999999987631,0.1,0.000765,0,0.0
gps_speed_mps,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,smartphone,Derived/computed field,Computed,m/s,float64,inferred from data,0.0,5.227777777777778,2.064141,1.209642,0,0.0
v_gps_sats,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Number of GPS satellites available to VBOX,Racelogic VBOX GPS,count,float64,paper Table 3,0.0,140.0,114.310324,50.070867,0,0.0
v_time_day_s,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Seconds elapsed since start of day (GPS time-of-day),Racelogic VBOX,seconds,float64,paper Table 3,32869.0,38043.5,35456.25,1493.792785,0,0.0
v_gps_lat,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,GPS latitude from VBOX antenna,Racelogic VBOX GPS,degrees,float64,paper Table 3,52.3984045,52.4199255,52.409542,0.005487,0,0.0
v_gps_lon,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,GPS longitude from VBOX antenna,Racelogic VBOX GPS,degrees,float64,paper Table 3,-1.6034266,-1.5053331,-1.578089,0.020449,0,0.0
v_gps_speed_kmh,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,GPS-derived velocity from VBOX,Racelogic VBOX GPS,km/h,float64,paper Table 3,0.0,93.834,26.400959,16.235764,0,0.0
v_gps_heading_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,GPS-derived heading from VBOX,Racelogic VBOX GPS,degrees,float64,paper Table 3,0.005,359.997,194.782004,103.046075,0,0.0
v_gps_height_km,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,GPS-derived height above sea level,Racelogic VBOX GPS,km,float64,paper Table 3,92.05,143.89,123.253966,9.61608,0,0.0
v_vert_vel_kmh,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Vertical velocity from GPS,Racelogic VBOX GPS,km/h,float64,paper Table 3,-1.19,2.2,0.012477,0.231812,0,0.0
v_sample_period_s,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Actual sample period between consecutive readings,Racelogic VBOX,seconds,float64,paper Table 3,0.099,0.1009999999999999,0.1,6e-06,0,0.0
v_steering_deg,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Steering wheel angle from CAN bus,Ford Fiesta CAN bus,degrees,float64,paper Table 3,0.0,450.2,20.10681,62.935735,0,0.0
v_wheel_fl_rads,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Front-left wheel speed,Ford Fiesta wheel encoder,rad/s,float64,paper Table 3,0.0,68.23999,26.687393,16.298485,0,0.0
v_wheel_fr_rads,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Front-right wheel speed,Ford Fiesta wheel encoder,rad/s,float64,paper Table 3,0.0,68.12999,26.679967,16.289636,0,0.0
v_wheel_rl_rads,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Rear-left wheel speed,Ford Fiesta wheel encoder,rad/s,float64,paper Table 3,0.0,68.09999,26.602588,16.316178,0,0.0
v_wheel_rr_rads,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Rear-right wheel speed,Ford Fiesta wheel encoder,rad/s,float64,paper Table 3,0.0,67.92999,26.557198,16.285884,0,0.0
v_yaw_rate_degs,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Vehicle yaw rate from CAN bus IMU,Ford Fiesta CAN bus IMU,deg/s,float64,paper Table 3,-42.19998,35.80002,-0.099827,7.712174,0,0.0
v_speed_kmh,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Indicated vehicle speed from CAN bus (speedometer),Ford Fiesta CAN bus,km/h,float64,paper Table 3,0.0,68.09,26.681571,16.289998,0,0.0
v_long_acc_g,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Longitudinal acceleration from CAN bus,Ford Fiesta CAN bus,g,float64,paper Table 3,-0.5895600000000001,0.3396599,0.000761,0.075183,0,0.0
v_lat_acc_g,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Lateral acceleration from CAN bus,Ford Fiesta CAN bus,g,float64,paper Table 3,-0.4702201,0.3998399,0.002422,0.079049,0,0.0
v_handbrake,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Handbrake status,Ford Fiesta CAN bus,0 or 1,float64,paper Table 3,0.0,1.0,0.00601,0.077292,0,0.0
v_gear_req,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Gear requested by driver,Ford Fiesta CAN bus,gear number 1-5,float64,paper Table 3,0.0,14.0,3.38859,2.131262,0,0.0
v_gear,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Actual gear engaged,Ford Fiesta CAN bus,gear number 1-5,float64,paper Table 3,0.0,3.0,2.939261,0.354699,0,0.0
v_engine_rpm,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Engine rotational speed,Ford Fiesta CAN bus,rev/min,float64,paper Table 3,729.0,3135.0,1427.009218,364.311605,0,0.0
v_coolant_temp_c,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Engine coolant temperature,Ford Fiesta CAN bus,°C,float64,paper Table 3,40.0,103.0,89.591949,9.153354,0,0.0
v_clutch,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Clutch pedal position,Ford Fiesta CAN bus,0 or 1,float64,paper Table 3,0.0,0.0,0.0,0.0,0,0.0
v_brake_psi,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Brake line pressure,Ford Fiesta CAN bus,PSI,float64,paper Table 3,-1.420013,59.38998,3.526331,7.34799,0,0.0
v_brake_pos,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Brake pedal position,Ford Fiesta CAN bus,0 or 1,float64,paper Table 3,0.0,1.0,0.313531,0.463933,0,0.0
v_battery_v,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Vehicle battery voltage,Ford Fiesta CAN bus,volts,float64,paper Table 3,13.0,14.4,14.048618,0.169979,0,0.0
v_air_temp_c,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Ambient air temperature,Ford Fiesta CAN bus,°C,float64,paper Table 3,12.75,17.25,14.150572,0.806093,0,0.0
v_accel_pedal,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Accelerator pedal position,Ford Fiesta CAN bus,% activation,float64,paper Table 3,0.0,53.0,7.247555,7.861487,0,0.0
time_s,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Derived/computed field,Computed,s,float64,inferred from data,0.0,5174.5,2587.25,1493.792785,0,0.0
dt,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Derived/computed field,Computed,s,float64,inferred from data,0.0989999999947031,0.10100000000238651,0.1,6e-06,0,0.0
v_speed_mps,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,vehicle,Derived/computed field,Computed,m/s,float64,inferred from data,0.0,18.913888888888888,7.411548,4.525,0,0.0
