period_idx,start_time_s,duration_s,sensor,unit,mean,std,min,max,n_samples
3,651.0,17.9,mag_x,μT,-12.786333,6.726318,-23.37,-2.0,180
3,651.0,17.9,mag_y,μT,-29.617889,0.499027,-30.75,-28.25,180
3,651.0,17.9,mag_z,μT,8.857556,4.168175,4.5,16.94,180
4,830.999,8.9,acc_x,m/s²,0.376676,1.06075,-2.2004,2.1963,90
4,830.999,8.9,acc_y,m/s²,0.10303,0.731158,-1.4155,1.8614,90
4,830.999,8.9,acc_z,m/s²,9.849781,0.221156,9.3332,10.2598,90
4,830.999,8.9,grav_x,m/s²,0.003138,0.014637,-0.0359,0.0444,90
4,830.999,8.9,grav_y,m/s²,0.001773,0.008181,-0.0238,0.0209,90
4,830.999,8.9,grav_z,m/s²,9.806574,4.4e-05,9.8065,9.8066,90
4,830.999,8.9,gyro_x,rad/s,0.011834,0.05782,-0.1148,0.1748,90
4,830.999,8.9,gyro_y,rad/s,0.117754,0.1686,-0.0939,0.4892,90
4,830.999,8.9,gyro_z,rad/s,-0.013669,0.039162,-0.0994,0.0749,90
4,830.999,8.9,mag_x,μT,-24.495778,5.202481,-36.62,-20.37,90
4,830.999,8.9,mag_y,μT,-27.963778,1.161102,-29.69,-24.44,90
4,830.999,8.9,mag_z,μT,2.056667,3.542806,-0.75,12.25,90
5,930.0,8.9,acc_x,m/s²,0.183744,0.405592,-0.9945,1.3749,90
5,930.0,8.9,acc_y,m/s²,0.02794,0.472764,-1.221,0.8518,90
5,930.0,8.9,acc_z,m/s²,9.855673,0.153596,9.3787,10.1597,90
5,930.0,8.9,grav_x,m/s²,-0.000549,0.00561,-0.0124,0.0179,90
5,930.0,8.9,grav_y,m/s²,0.000658,0.007221,-0.0214,0.017,90
5,930.0,8.9,grav_z,m/s²,9.806586,3.5e-05,9.8065,9.8066,90
5,930.0,8.9,gyro_x,rad/s,-0.002204,0.022339,-0.0577,0.056,90
5,930.0,8.9,gyro_y,rad/s,-0.103524,0.13786,-0.4342,0.0649,90
5,930.0,8.9,gyro_z,rad/s,0.020182,0.023885,-0.042,0.0947,90
5,930.0,8.9,mag_x,μT,-33.629,2.17299,-37.25,-28.19,90
5,930.0,8.9,mag_y,μT,-26.161,1.271383,-28.19,-23.62,90
5,930.0,8.9,mag_z,μT,12.722444,4.852605,4.88,19.38,90
6,1143.9,9.0,acc_x,m/s²,0.68568,1.01132,-1.8264,3.5819,91
6,1143.9,9.0,acc_y,m/s²,-0.998033,1.152134,-3.3309,2.1282,91
6,1143.9,9.0,acc_z,m/s²,9.859708,0.423514,8.8514,11.1216,91
6,1143.9,9.0,grav_x,m/s²,-0.001003,0.012056,-0.0529,0.0454,91
6,1143.9,9.0,grav_y,m/s²,-0.008123,0.019985,-0.0576,0.0557,91
6,1143.9,9.0,grav_z,m/s²,9.80656,6.3e-05,9.8064,9.8066,91
6,1143.9,9.0,gyro_x,rad/s,-0.001937,0.077468,-0.3489,0.2194,91
6,1143.9,9.0,gyro_y,rad/s,-0.172863,0.266466,-0.7799,0.3314,91
6,1143.9,9.0,gyro_z,rad/s,0.027511,0.069862,-0.2493,0.218,91
6,1143.9,9.0,mag_x,μT,-28.147582,10.294725,-38.75,-13.0,91
6,1143.9,9.0,mag_y,μT,-24.183516,0.687482,-25.62,-22.5,91
6,1143.9,9.0,mag_z,μT,32.442308,6.123461,24.63,40.0,91
7,1188.999,9.9,acc_x,m/s²,0.336523,0.408613,-0.981,1.5717,100
7,1188.999,9.9,acc_y,m/s²,-0.931136,0.429355,-1.9521,-0.1647,100
7,1188.999,9.9,acc_z,m/s²,9.800961,0.131638,9.4823,10.0554,100
7,1188.999,9.9,grav_x,m/s²,-0.001669,0.007077,-0.0297,0.009,100
7,1188.999,9.9,grav_y,m/s²,-0.004395,0.004927,-0.0169,0.0059,100
7,1188.999,9.9,grav_z,m/s²,9.806597,1.7e-05,9.8065,9.8066,100
7,1188.999,9.9,gyro_x,rad/s,0.001532,0.020511,-0.0623,0.0547,100
7,1188.999,9.9,gyro_y,rad/s,0.026146,0.090436,-0.126,0.2538,100
7,1188.999,9.9,gyro_z,rad/s,0.011452,0.018753,-0.0223,0.0725,100
7,1188.999,9.9,mag_x,μT,-19.5507,3.869905,-28.62,-16.0,100
7,1188.999,9.9,mag_y,μT,-21.2187,1.080912,-23.5,-19.19,100
7,1188.999,9.9,mag_z,μT,37.7666,0.936398,35.5,39.5,100
8,1306.899,9.0,acc_x,m/s²,1.158749,0.707254,-1.0561,2.9825,91
8,1306.899,9.0,acc_y,m/s²,-0.221218,0.543714,-1.556,1.1191,91
8,1306.899,9.0,acc_z,m/s²,9.805456,0.291955,8.8737,10.6079,91
8,1306.899,9.0,grav_x,m/s²,0.00187,0.011013,-0.0345,0.0281,91
8,1306.899,9.0,grav_y,m/s²,0.001198,0.009457,-0.0237,0.0329,91
8,1306.899,9.0,grav_z,m/s²,9.806584,3.7e-05,9.8065,9.8066,91
8,1306.899,9.0,gyro_x,rad/s,0.008092,0.049045,-0.1111,0.1451,91
8,1306.899,9.0,gyro_y,rad/s,-0.019982,0.104635,-0.2996,0.145,91
8,1306.899,9.0,gyro_z,rad/s,-0.001346,0.036188,-0.1218,0.1241,91
8,1306.899,9.0,mag_x,μT,-35.721868,1.251367,-39.62,-32.31,91
8,1306.899,9.0,mag_y,μT,-23.156593,0.837099,-25.06,-21.0,91
8,1306.899,9.0,mag_z,μT,25.359451,2.250473,21.69,29.81,91
9,1360.999,23.9,acc_x,m/s²,0.359178,0.46709,-1.1686,1.5108,240
9,1360.999,23.9,acc_y,m/s²,0.09658,0.530616,-1.5758,1.7687,240
9,1360.999,23.9,acc_z,m/s²,9.837516,0.158672,9.3826,10.4091,240
9,1360.999,23.9,grav_x,m/s²,-0.000161,0.007261,-0.0223,0.0293,240
9,1360.999,23.9,grav_y,m/s²,-0.001368,0.006915,-0.029,0.0144,240
9,1360.999,23.9,grav_z,m/s²,9.806588,3.2e-05,9.8065,9.8066,240
9,1360.999,23.9,gyro_x,rad/s,0.00066,0.028537,-0.111,0.0917,240
9,1360.999,23.9,gyro_y,rad/s,-0.102472,0.104684,-0.4223,0.0206,240
9,1360.999,23.9,gyro_z,rad/s,0.016354,0.026053,-0.046,0.1186,240
9,1360.999,23.9,mag_x,μT,-25.940167,6.407877,-35.87,-13.06,240
9,1360.999,23.9,mag_y,μT,-27.995583,1.247323,-29.69,-23.5,240
9,1360.999,23.9,mag_z,μT,5.3095,6.145582,-0.5,28.38,240
10,1475.0,8.9,acc_x,m/s²,0.047856,1.109345,-2.613,1.9197,90
10,1475.0,8.9,acc_y,m/s²,-0.439878,0.767754,-2.1198,1.065,90
10,1475.0,8.9,acc_z,m/s²,9.916152,0.273099,9.1979,10.7238,90
10,1475.0,8.9,grav_x,m/s²,0.00646,0.009714,-0.0184,0.0424,90
10,1475.0,8.9,grav_y,m/s²,-0.005384,0.013549,-0.0451,0.0454,90
10,1475.0,8.9,grav_z,m/s²,9.806564,5e-05,9.8064,9.8066,90
10,1475.0,8.9,gyro_x,rad/s,-0.004292,0.059369,-0.1673,0.16,90
10,1475.0,8.9,gyro_y,rad/s,-0.22272,0.246081,-0.7236,0.0834,90
10,1475.0,8.9,gyro_z,rad/s,0.031703,0.050329,-0.0761,0.1518,90
10,1475.0,8.9,mag_x,μT,-24.364111,12.16557,-37.69,-7.56,90
10,1475.0,8.9,mag_y,μT,-23.968,1.047243,-25.56,-21.81,90
10,1475.0,8.9,mag_z,μT,33.206111,5.101493,23.75,40.81,90
11,1582.999,8.9,acc_x,m/s²,0.541328,0.271482,-0.0449,1.2459,90
11,1582.999,8.9,acc_y,m/s²,-0.254453,0.158436,-0.6766,0.0924,90
11,1582.999,8.9,acc_z,m/s²,9.834277,0.143147,9.5205,10.2817,90
11,1582.999,8.9,grav_x,m/s²,-0.001154,0.006455,-0.031,0.0099,90
11,1582.999,8.9,grav_y,m/s²,0.000126,0.008516,-0.0334,0.0175,90
11,1582.999,8.9,grav_z,m/s²,9.806597,1.8e-05,9.8065,9.8066,90
11,1582.999,8.9,gyro_x,rad/s,0.002288,0.018351,-0.0479,0.0633,90
11,1582.999,8.9,gyro_y,rad/s,-0.021923,0.017213,-0.0582,0.0175,90
11,1582.999,8.9,gyro_z,rad/s,0.007468,0.024188,-0.0455,0.0996,90
11,1582.999,8.9,mag_x,μT,-32.417222,0.826075,-34.87,-30.69,90
11,1582.999,8.9,mag_y,μT,-27.297333,0.547742,-28.37,-25.31,90
11,1582.999,8.9,mag_z,μT,10.355333,0.678178,8.44,11.44,90
12,1600.999,12.9,acc_x,m/s²,0.671981,0.409472,-0.5986,1.3628,130
12,1600.999,12.9,acc_y,m/s²,0.309712,0.629937,-1.6425,1.4641,130
12,1600.999,12.9,acc_z,m/s²,9.848898,0.129236,9.5927,10.2494,130
12,1600.999,12.9,grav_x,m/s²,0.001848,0.005718,-0.0093,0.0281,130
12,1600.999,12.9,grav_y,m/s²,-0.001658,0.005337,-0.0211,0.0101,130
12,1600.999,12.9,grav_z,m/s²,9.806585,3.5e-05,9.8065,9.8066,130
12,1600.999,12.9,gyro_x,rad/s,-0.002288,0.018169,-0.0591,0.0526,130
12,1600.999,12.9,gyro_y,rad/s,-0.134557,0.103238,-0.3988,0.023,130
12,1600.999,12.9,gyro_z,rad/s,0.020858,0.020354,-0.0438,0.0989,130
12,1600.999,12.9,mag_x,μT,-13.695615,7.634665,-26.94,-1.25,130
12,1600.999,12.9,mag_y,μT,-24.245538,1.417175,-27.25,-21.62,130
12,1600.999,12.9,mag_z,μT,36.876692,3.810852,25.44,40.25,130
13,1650.0,13.9,acc_x,m/s²,0.785812,0.806279,-2.0452,2.0119,140
13,1650.0,13.9,acc_y,m/s²,0.155334,0.580883,-1.5498,1.8462,140
13,1650.0,13.9,acc_z,m/s²,9.837199,0.184029,9.4947,10.7641,140
13,1650.0,13.9,grav_x,m/s²,0.000673,0.007271,-0.0125,0.0311,140
13,1650.0,13.9,grav_y,m/s²,-0.004582,0.007797,-0.0267,0.0084,140
13,1650.0,13.9,grav_z,m/s²,9.806579,4.1e-05,9.8065,9.8066,140
13,1650.0,13.9,gyro_x,rad/s,-0.003155,0.027788,-0.1184,0.0848,140
13,1650.0,13.9,gyro_y,rad/s,-0.152018,0.157884,-0.613,0.0075,140
13,1650.0,13.9,gyro_z,rad/s,0.026564,0.032105,-0.0118,0.1709,140
13,1650.0,13.9,mag_x,μT,-19.269214,8.136609,-31.19,-1.62,140
13,1650.0,13.9,mag_y,μT,-23.766714,0.864608,-27.56,-22.44,140
13,1650.0,13.9,mag_z,μT,38.000214,3.3589,23.19,42.13,140
14,1699.999,15.8,acc_x,m/s²,-0.495162,0.613271,-2.6791,0.6646,159
14,1699.999,15.8,acc_y,m/s²,0.400431,0.347557,-0.5612,1.1621,159
14,1699.999,15.8,acc_z,m/s²,9.855781,0.156433,9.4004,10.2047,159
14,1699.999,15.8,grav_x,m/s²,0.001797,0.008367,-0.0129,0.0422,159
14,1699.999,15.8,grav_y,m/s²,-0.001877,0.005392,-0.0203,0.024,159
14,1699.999,15.8,grav_z,m/s²,9.806582,3.8e-05,9.8065,9.8066,159
14,1699.999,15.8,gyro_x,rad/s,-0.003644,0.026798,-0.0762,0.0674,159
14,1699.999,15.8,gyro_y,rad/s,-0.146003,0.130969,-0.4848,0.0216,159
14,1699.999,15.8,gyro_z,rad/s,0.0207,0.023931,-0.0387,0.1257,159
14,1699.999,15.8,mag_x,μT,-28.796415,7.175171,-38.56,-16.87,159
14,1699.999,15.8,mag_y,μT,-27.149748,1.684116,-29.19,-22.81,159
14,1699.999,15.8,mag_z,μT,7.762327,9.250098,-2.69,32.25,159
15,1761.0,10.9,acc_x,m/s²,0.451613,0.713088,-1.8886,1.7483,110
15,1761.0,10.9,acc_y,m/s²,0.321474,0.623587,-1.2883,1.7194,110
15,1761.0,10.9,acc_z,m/s²,9.841542,0.215027,9.1089,10.6098,110
15,1761.0,10.9,grav_x,m/s²,0.001937,0.007651,-0.0168,0.0215,110
15,1761.0,10.9,grav_y,m/s²,-0.000937,0.007074,-0.0235,0.0221,110
15,1761.0,10.9,grav_z,m/s²,9.806585,3.6e-05,9.8065,9.8066,110
15,1761.0,10.9,gyro_x,rad/s,0.005735,0.028263,-0.066,0.1228,110
15,1761.0,10.9,gyro_y,rad/s,-0.103908,0.083035,-0.2454,0.0564,110
15,1761.0,10.9,gyro_z,rad/s,0.005855,0.025042,-0.0938,0.048,110
15,1761.0,10.9,mag_x,μT,-36.681636,1.348625,-38.81,-33.81,110
15,1761.0,10.9,mag_y,μT,-24.337455,0.592808,-25.62,-23.12,110
15,1761.0,10.9,mag_z,μT,21.388636,6.980162,5.31,28.81,110
16,1835.0,8.9,acc_x,m/s²,0.74319,0.688193,-0.9528,2.4601,90
16,1835.0,8.9,acc_y,m/s²,0.179229,1.03231,-2.8429,1.3806,90
16,1835.0,8.9,acc_z,m/s²,9.815186,0.264719,9.2513,10.6778,90
16,1835.0,8.9,grav_x,m/s²,0.004941,0.015002,-0.0286,0.0595,90
16,1835.0,8.9,grav_y,m/s²,0.000203,0.012536,-0.0468,0.024,90
16,1835.0,8.9,grav_z,m/s²,9.806572,4.5e-05,9.8065,9.8066,90
16,1835.0,8.9,gyro_x,rad/s,-0.014371,0.046602,-0.1312,0.1247,90
16,1835.0,8.9,gyro_y,rad/s,-0.181797,0.210568,-0.6746,0.0473,90
16,1835.0,8.9,gyro_z,rad/s,0.024504,0.05169,-0.0762,0.1761,90
16,1835.0,8.9,mag_x,μT,-21.431333,11.249813,-38.12,-10.12,90
16,1835.0,8.9,mag_y,μT,-27.641333,1.918004,-30.19,-24.19,90
16,1835.0,8.9,mag_z,μT,3.335444,3.431329,-0.87,10.38,90
17,2222.0,8.9,acc_x,m/s²,1.44896,0.526867,-0.1551,2.9737,90
17,2222.0,8.9,acc_y,m/s²,-0.55199,0.534342,-2.0899,1.1013,90
17,2222.0,8.9,acc_z,m/s²,9.797567,0.303035,8.4699,10.7671,90
17,2222.0,8.9,grav_x,m/s²,1.2e-05,0.015266,-0.0469,0.0374,90
17,2222.0,8.9,grav_y,m/s²,-0.002398,0.013,-0.0369,0.034,90
17,2222.0,8.9,grav_z,m/s²,9.806572,5e-05,9.8064,9.8066,90
17,2222.0,8.9,gyro_x,rad/s,0.003362,0.063638,-0.1694,0.186,90
17,2222.0,8.9,gyro_y,rad/s,-0.00043,0.062414,-0.1499,0.1371,90
17,2222.0,8.9,gyro_z,rad/s,0.0072,0.031673,-0.0766,0.0731,90
17,2222.0,8.9,mag_x,μT,-36.523444,0.556737,-37.94,-35.19,90
17,2222.0,8.9,mag_y,μT,-23.111111,0.766721,-24.44,-21.06,90
17,2222.0,8.9,mag_z,μT,25.484111,1.251299,23.69,28.25,90
18,2420.0,16.9,acc_x,m/s²,0.154285,0.670958,-3.0923,1.4103,170
18,2420.0,16.9,acc_y,m/s²,-0.766724,0.588034,-2.967,0.1148,170
18,2420.0,16.9,acc_z,m/s²,9.841535,0.189315,9.1028,10.6836,170
18,2420.0,16.9,grav_x,m/s²,-0.000115,0.007734,-0.0435,0.0529,170
18,2420.0,16.9,grav_y,m/s²,-0.002323,0.005739,-0.0245,0.0369,170
18,2420.0,16.9,grav_z,m/s²,9.806589,3.3e-05,9.8064,9.8066,170
18,2420.0,16.9,gyro_x,rad/s,-0.000191,0.02749,-0.1466,0.0903,170
18,2420.0,16.9,gyro_y,rad/s,-0.075087,0.174187,-0.6676,0.0194,170
18,2420.0,16.9,gyro_z,rad/s,0.014976,0.034769,-0.0163,0.1683,170
18,2420.0,16.9,mag_x,μT,-1.851765,1.779439,-12.44,0.5,170
18,2420.0,16.9,mag_y,μT,-27.689353,0.725027,-29.94,-25.69,170
18,2420.0,16.9,mag_z,μT,21.002235,3.83776,3.44,23.81,170
19,2446.001,8.9,acc_x,m/s²,0.12763,0.983258,-2.1797,2.3755,90
19,2446.001,8.9,acc_y,m/s²,-0.204219,0.944732,-2.3841,1.4654,90
19,2446.001,8.9,acc_z,m/s²,9.856822,0.465853,8.7812,11.7623,90
19,2446.001,8.9,grav_x,m/s²,0.001869,0.009137,-0.0204,0.0294,90
19,2446.001,8.9,grav_y,m/s²,-0.001736,0.028663,-0.1411,0.0736,90
19,2446.001,8.9,grav_z,m/s²,9.806542,0.000148,9.8055,9.8066,90
19,2446.001,8.9,gyro_x,rad/s,0.00549,0.076219,-0.267,0.2547,90
19,2446.001,8.9,gyro_y,rad/s,0.108749,0.159313,-0.174,0.3768,90
19,2446.001,8.9,gyro_z,rad/s,-0.018688,0.036266,-0.1092,0.0476,90
19,2446.001,8.9,mag_x,μT,-4.437444,2.52904,-10.94,-1.25,90
19,2446.001,8.9,mag_y,μT,-27.736889,0.829461,-29.31,-26.0,90
19,2446.001,8.9,mag_z,μT,17.606222,7.838969,3.06,25.06,90
20,2604.999,8.9,acc_x,m/s²,0.175387,1.258375,-3.5202,4.0754,90
20,2604.999,8.9,acc_y,m/s²,-0.658776,1.251246,-2.6338,3.9526,90
20,2604.999,8.9,acc_z,m/s²,9.873381,0.502177,8.6111,11.7813,90
20,2604.999,8.9,grav_x,m/s²,0.00017,0.01743,-0.0332,0.0491,90
20,2604.999,8.9,grav_y,m/s²,-0.006077,0.028473,-0.072,0.0957,90
20,2604.999,8.9,grav_z,m/s²,9.806533,9.1e-05,9.8061,9.8066,90
20,2604.999,8.9,gyro_x,rad/s,0.00065,0.105621,-0.2046,0.356,90
20,2604.999,8.9,gyro_y,rad/s,-0.17423,0.241994,-0.7084,0.243,90
20,2604.999,8.9,gyro_z,rad/s,0.030059,0.06066,-0.1163,0.1729,90
20,2604.999,8.9,mag_x,μT,-20.189444,8.095608,-35.75,-12.31,90
20,2604.999,8.9,mag_y,μT,-25.147,0.613048,-26.44,-23.25,90
20,2604.999,8.9,mag_z,μT,34.787222,3.136182,26.81,38.44,90
21,2677.0,12.9,acc_x,m/s²,0.285363,0.71439,-2.1622,1.5146,130
21,2677.0,12.9,acc_y,m/s²,-0.265458,0.608237,-2.2716,0.8523,130
21,2677.0,12.9,acc_z,m/s²,9.807409,0.286623,8.7527,10.6934,130
21,2677.0,12.9,grav_x,m/s²,-0.00121,0.011949,-0.0381,0.0275,130
21,2677.0,12.9,grav_y,m/s²,-7e-05,0.010167,-0.0275,0.0362,130
21,2677.0,12.9,grav_z,m/s²,9.806585,3.6e-05,9.8065,9.8066,130
21,2677.0,12.9,gyro_x,rad/s,-0.009655,0.044552,-0.1723,0.1093,130
21,2677.0,12.9,gyro_y,rad/s,-0.120567,0.163223,-0.5322,0.0123,130
21,2677.0,12.9,gyro_z,rad/s,0.017468,0.035179,-0.047,0.1385,130
21,2677.0,12.9,mag_x,μT,-32.222154,4.52224,-36.31,-19.37,130
21,2677.0,12.9,mag_y,μT,-25.545769,0.693203,-26.75,-23.87,130
21,2677.0,12.9,mag_z,μT,26.089846,5.254276,20.94,37.38,130
22,2734.999,8.9,acc_x,m/s²,0.783664,1.165752,-1.9828,4.3704,90
22,2734.999,8.9,acc_y,m/s²,-0.576796,0.966533,-3.9694,1.6016,90
22,2734.999,8.9,acc_z,m/s²,9.838088,0.723215,7.1876,12.6745,90
22,2734.999,8.9,grav_x,m/s²,0.001429,0.036334,-0.1132,0.1062,90
22,2734.999,8.9,grav_y,m/s²,-0.004983,0.008245,-0.0251,0.0198,90
22,2734.999,8.9,grav_z,m/s²,9.80652,0.000151,9.8059,9.8066,90
22,2734.999,8.9,gyro_x,rad/s,0.012317,0.153784,-0.5709,0.4569,90
22,2734.999,8.9,gyro_y,rad/s,0.056946,0.171602,-0.1996,0.4269,90
22,2734.999,8.9,gyro_z,rad/s,-0.008088,0.062541,-0.2248,0.1811,90
22,2734.999,8.9,mag_x,μT,-26.318778,4.107043,-32.37,-20.44,90
22,2734.999,8.9,mag_y,μT,-28.698556,0.63672,-30.12,-27.31,90
22,2734.999,8.9,mag_z,μT,6.812111,2.847114,3.75,11.69,90
23,2897.0,8.9,acc_x,m/s²,0.474619,0.409859,-0.6616,1.3718,90
23,2897.0,8.9,acc_y,m/s²,-1.305968,0.83343,-2.9795,1.0541,90
23,2897.0,8.9,acc_z,m/s²,9.782767,0.239087,9.0757,10.6052,90
23,2897.0,8.9,grav_x,m/s²,0.001842,0.009127,-0.0361,0.0222,90
23,2897.0,8.9,grav_y,m/s²,-0.000943,0.017474,-0.0518,0.052,90
23,2897.0,8.9,grav_z,m/s²,9.806579,4.6e-05,9.8064,9.8066,90
23,2897.0,8.9,gyro_x,rad/s,-0.000982,0.068335,-0.1733,0.2545,90
23,2897.0,8.9,gyro_y,rad/s,-0.00412,0.058724,-0.1458,0.1146,90
23,2897.0,8.9,gyro_z,rad/s,-0.007553,0.02615,-0.0719,0.0469,90
23,2897.0,8.9,mag_x,μT,-16.013,3.312693,-27.62,-3.19,90
23,2897.0,8.9,mag_y,μT,-23.783778,1.054252,-25.31,-19.06,90
23,2897.0,8.9,mag_z,μT,38.450556,2.547801,24.25,42.13,90
24,3158.0,8.9,acc_x,m/s²,0.049873,0.678632,-1.8058,2.9157,90
24,3158.0,8.9,acc_y,m/s²,-0.748424,0.608407,-2.4423,0.958,90
24,3158.0,8.9,acc_z,m/s²,9.920802,0.308501,9.1239,11.309,90
24,3158.0,8.9,grav_x,m/s²,-0.001171,0.007806,-0.0248,0.0197,90
24,3158.0,8.9,grav_y,m/s²,-0.005847,0.015177,-0.0386,0.0354,90
24,3158.0,8.9,grav_z,m/s²,9.806574,4.4e-05,9.8065,9.8066,90
24,3158.0,8.9,gyro_x,rad/s,-0.016098,0.056663,-0.2392,0.1698,90
24,3158.0,8.9,gyro_y,rad/s,-0.167329,0.181297,-0.5701,0.0511,90
24,3158.0,8.9,gyro_z,rad/s,0.023869,0.038513,-0.0602,0.1299,90
24,3158.0,8.9,mag_x,μT,-10.191556,6.979244,-21.81,-2.25,90
24,3158.0,8.9,mag_y,μT,-25.350444,1.65009,-28.06,-22.69,90
24,3158.0,8.9,mag_z,μT,31.222889,7.964021,21.0,41.81,90
25,3193.999,14.9,acc_x,m/s²,0.140223,0.418741,-0.9706,0.9378,150
25,3193.999,14.9,acc_y,m/s²,-0.303297,0.364956,-1.194,0.5509,150
25,3193.999,14.9,acc_z,m/s²,9.891441,0.138835,9.4952,10.3153,150
25,3193.999,14.9,grav_x,m/s²,0.001065,0.007116,-0.0383,0.0289,150
25,3193.999,14.9,grav_y,m/s²,-0.000557,0.00754,-0.0168,0.0307,150
25,3193.999,14.9,grav_z,m/s²,9.806591,2.9e-05,9.8065,9.8066,150
25,3193.999,14.9,gyro_x,rad/s,-0.005721,0.022538,-0.0566,0.0766,150
25,3193.999,14.9,gyro_y,rad/s,-0.160283,0.126866,-0.4924,0.0074,150
25,3193.999,14.9,gyro_z,rad/s,0.021263,0.022094,-0.0319,0.099,150
25,3193.999,14.9,mag_x,μT,-7.765933,2.979921,-14.62,-3.87,150
25,3193.999,14.9,mag_y,μT,-27.859333,1.2672,-30.31,-24.56,150
25,3193.999,14.9,mag_z,μT,22.598867,9.737158,2.69,36.56,150
26,3379.999,20.9,acc_x,m/s²,-0.129015,0.327364,-1.6802,0.2623,210
26,3379.999,20.9,acc_y,m/s²,-0.262546,0.290575,-1.3644,1.072,210
26,3379.999,20.9,acc_z,m/s²,9.861771,0.11239,9.5132,10.1412,210
26,3379.999,20.9,grav_x,m/s²,-0.000463,0.003363,-0.0129,0.0199,210
26,3379.999,20.9,grav_y,m/s²,-0.000909,0.005315,-0.0235,0.0213,210
26,3379.999,20.9,grav_z,m/s²,9.80659,2.9e-05,9.8065,9.8066,210
26,3379.999,20.9,gyro_x,rad/s,0.000538,0.018946,-0.1128,0.0602,210
26,3379.999,20.9,gyro_y,rad/s,-0.064754,0.120134,-0.434,0.0182,210
