column,domain,dtype,total_count,non_null_count,null_count,null_pct,inf_count,min,max,mean,std,median,is_constant,impossible_count,impossible_pct,outlier_5std_count
gyro_x,smartphone,float64,51746,51746,0,0.0,0,-1.1627,1.3556,0.002192,0.099868,0.0017,False,0,0.0,173
gyro_y,smartphone,float64,51746,51746,0,0.0,0,-0.7799,0.633,-0.007249,0.141653,-0.005,False,0,0.0,8
gyro_z,smartphone,float64,51746,51746,0,0.0,0,-0.5837,0.5546,0.002549,0.051477,0.0023,False,0,0.0,112
mag_x,smartphone,float64,51746,51746,0,0.0,0,-41.87,10.75,-15.914523,12.296813,-14.06,False,0,0.0,0
mag_y,smartphone,float64,51746,51746,0,0.0,0,-39.19,-16.62,-27.94087,2.924344,-28.19,False,0,0.0,0
mag_z,smartphone,float64,51746,51746,0,0.0,0,-11.0,43.88,17.042944,12.97947,16.13,False,0,0.0,0
ori_yaw_deg,smartphone,float64,51746,51746,0,0.0,0,0.0,360.0,181.656303,140.603281,240.44,False,0,0.0,0
ori_pitch_deg,smartphone,float64,51746,51746,0,0.0,0,-89.69,-68.11,-81.11301,2.723437,-81.25,False,0,0.0,0
ori_roll_deg,smartphone,float64,51746,51746,0,0.0,0,-180.0,180.0,-127.493346,82.455332,-150.265,False,0,0.0,0
time_s,smartphone,float64,51746,51746,0,0.0,0,0.0,5174.499,2587.249457,1493.792782,2587.2495,False,0,0.0,0
dt,smartphone,float64,51746,51746,0,0.0,0,0.08899999999994179,0.11099999999987631,0.1,0.000765,0.1,False,0,0.0,96
gps_speed_mps,smartphone,float64,51746,51746,0,0.0,0,0.0,5.227777777777778,2.064141,1.209642,1.994444,False,0,0.0,0
v_gps_sats,vehicle,float64,51746,51746,0,0.0,0,0.0,140.0,114.310324,50.070867,138.0,False,0,0.0,0
v_time_day_s,vehicle,float64,51746,51746,0,0.0,0,32869.0,38043.5,35456.25,1493.792785,35456.25,False,0,0.0,0
v_gps_lat,vehicle,float64,51746,51746,0,0.0,0,52.3984045,52.4199255,52.409542,0.005487,52.409423,False,0,0.0,0
v_gps_lon,vehicle,float64,51746,51746,0,0.0,0,-1.6034266,-1.5053331,-1.578089,0.020449,-1.581299,False,0,0.0,0
v_gps_speed_kmh,vehicle,float64,51746,51746,0,0.0,0,0.0,93.834,26.400959,16.235764,26.899,False,0,0.0,0
v_gps_heading_deg,vehicle,float64,51746,51746,0,0.0,0,0.005,359.997,194.782004,103.046075,192.563,False,0,0.0,0
v_gps_height_km,vehicle,float64,51746,51746,0,0.0,0,92.05,143.89,123.253966,9.61608,124.43,False,0,0.0,0
v_vert_vel_kmh,vehicle,float64,51746,51746,0,0.0,0,-1.19,2.2,0.012477,0.231812,0.0,False,0,0.0,61
v_sample_period_s,vehicle,float64,51746,51746,0,0.0,0,0.099,0.1009999999999999,0.1,6e-06,0.1,False,0,0.0,2
v_steering_deg,vehicle,float64,51746,51746,0,0.0,0,0.0,450.2,20.10681,62.935735,0.0,False,0,0.0,470
v_wheel_fl_rads,vehicle,float64,51746,51746,0,0.0,0,0.0,68.23999,26.687393,16.298485,27.18999,False,0,0.0,0
v_wheel_fr_rads,vehicle,float64,51746,51746,0,0.0,0,0.0,68.12999,26.679967,16.289636,27.16,False,0,0.0,0
v_wheel_rl_rads,vehicle,float64,51746,51746,0,0.0,0,0.0,68.09999,26.602588,16.316178,27.16,False,0,0.0,0
v_wheel_rr_rads,vehicle,float64,51746,51746,0,0.0,0,0.0,67.92999,26.557198,16.285884,27.07999,False,0,0.0,0
v_yaw_rate_degs,vehicle,float64,51746,51746,0,0.0,0,-42.19998,35.80002,-0.099827,7.712174,0.0,False,0,0.0,12
v_speed_kmh,vehicle,float64,51746,51746,0,0.0,0,0.0,68.09,26.681571,16.289998,27.17,False,0,0.0,0
v_long_acc_g,vehicle,float64,51746,51746,0,0.0,0,-0.5895600000000001,0.3396599,0.000761,0.075183,0.0,False,0,0.0,8
v_lat_acc_g,vehicle,float64,51746,51746,0,0.0,0,-0.4702201,0.3998399,0.002422,0.079049,0.0,False,0,0.0,10
v_handbrake,vehicle,float64,51746,51746,0,0.0,0,0.0,1.0,0.00601,0.077292,0.0,False,0,0.0,311
v_gear_req,vehicle,float64,51746,51746,0,0.0,0,0.0,14.0,3.38859,2.131262,3.0,False,0,0.0,0
v_gear,vehicle,float64,51746,51746,0,0.0,0,0.0,3.0,2.939261,0.354699,3.0,False,0,0.0,1423
v_engine_rpm,vehicle,float64,51746,51746,0,0.0,0,729.0,3135.0,1427.009218,364.311605,1417.0,False,0,0.0,0
v_coolant_temp_c,vehicle,float64,51746,51746,0,0.0,0,40.0,103.0,89.591949,9.153354,90.0,False,0,0.0,200
v_clutch,vehicle,float64,51746,51746,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0
v_brake_psi,vehicle,float64,51746,51746,0,0.0,0,-1.420013,59.38998,3.526331,7.34799,0.029999,False,0,0.0,197
v_brake_pos,vehicle,float64,51746,51746,0,0.0,0,0.0,1.0,0.313531,0.463933,0.0,False,0,0.0,0
v_battery_v,vehicle,float64,51746,51746,0,0.0,0,13.0,14.4,14.048618,0.169979,14.0,False,0,0.0,2
v_air_temp_c,vehicle,float64,51746,51746,0,0.0,0,12.75,17.25,14.150572,0.806093,14.25,False,0,0.0,0
v_accel_pedal,vehicle,float64,51746,51746,0,0.0,0,0.0,53.0,7.247555,7.861487,5.0,False,0,0.0,20
time_s,vehicle,float64,51746,51746,0,0.0,0,0.0,5174.5,2587.25,1493.792785,2587.25,False,0,0.0,0
dt,vehicle,float64,51746,51746,0,0.0,0,0.0989999999947031,0.10100000000238651,0.1,6e-06,0.1,False,0,0.0,2
v_speed_mps,vehicle,float64,51746,51746,0,0.0,0,0.0,18.913888888888888,7.411548,4.525,7.547222,False,0,0.0,0
